,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,91,NZ,1559452398,82,-46.19,168.86,46.99,4.54
1,Castro,75,CL,1559452399,100,-42.48,-73.76,50.0,13.87
2,Berlevag,100,NO,1559452400,89,70.86,29.09,38.75,17.13
3,Corinto,0,BR,1559452402,75,-18.36,-44.46,67.37,1.57
4,Busselton,0,AU,1559452403,24,-33.64,115.35,75.0,12.03
5,Katsuura,75,JP,1559452404,94,33.93,134.5,71.01,3.36
6,Umm Kaddadah,63,SD,1559452406,37,13.6,26.69,90.59,14.63
7,Bluff,66,AU,1559452407,61,-23.58,149.07,67.73,2.28
8,Husavik,0,CA,1559452408,68,50.56,-96.99,39.99,3.0
9,Narsaq,26,GL,1559452410,74,60.91,-46.05,37.4,5.82
10,Butaritari,48,KI,1559452411,73,3.07,172.79,84.29,6.6
11,Mutis,86,CO,1559452412,79,6.23,-77.4,80.87,6.2
12,Albany,90,US,1559452245,100,42.65,-73.75,66.0,4.7
13,Avera,1,US,1559452415,94,33.19,-82.53,75.99,4.23
14,Araouane,29,ML,1559452417,14,18.9,-3.53,89.33,15.08
15,Port Hedland,0,AU,1559452418,12,-20.31,118.58,77.0,20.8
16,Rikitea,100,PF,1559452419,79,-23.12,-134.97,73.67,25.43
17,Mier,2,IT,1559452420,77,46.13,12.19,69.01,2.24
18,Gat,75,SN,1559452422,94,14.69,-16.54,68.0,13.87
19,Georgetown,20,GY,1559452390,100,6.8,-58.16,75.2,4.7
20,Beringovskiy,73,RU,1559452425,64,63.05,179.32,46.85,3.96
21,Kutum,51,SD,1559452426,18,14.2,24.66,86.27,4.25
22,Saldanha,97,PT,1559452427,49,41.42,-6.55,61.25,1.07
23,Lerwick,92,GB,1559452276,93,60.15,-1.15,50.0,3.36
24,Bredasdorp,99,ZA,1559452430,87,-34.53,20.04,53.6,4.7
25,Gravdal,77,NO,1559452431,87,59.79,5.78,54.0,11.41
26,East London,0,ZA,1559452433,93,-33.02,27.91,51.8,4.7
27,Port Hardy,20,CA,1559452434,62,50.7,-127.42,53.6,8.05
28,Ranot,51,TH,1559452435,46,7.78,100.32,95.45,3.83
29,Qaqortoq,26,GL,1559452436,74,60.72,-46.03,37.4,5.82
30,Troyes,0,FR,1559452438,100,48.3,4.07,59.0,5.73
31,Provideniya,3,RU,1559452439,64,64.42,-173.23,45.59,3.87
32,Mahebourg,40,MU,1559452250,83,-20.41,57.7,75.99,8.05
33,Fuyu,17,CN,1559452441,37,47.79,124.46,72.41,8.28
34,Ushuaia,40,AR,1559452443,56,-54.81,-68.31,41.0,14.99
35,Tasiilaq,3,GL,1559452444,92,65.61,-37.64,26.6,3.36
36,Mar del Plata,64,AR,1559452445,72,-46.43,-67.52,41.99,7.38
37,Victor Harbor,40,AU,1559452447,72,-35.55,138.62,61.0,19.46
38,Lavrentiya,64,RU,1559452448,60,65.58,-170.99,49.19,2.62
39,Whitehorse,75,CA,1559452449,71,60.72,-135.06,50.0,3.36
40,Sibolga,83,ID,1559452451,75,1.74,98.78,82.85,7.83
41,Ulladulla,0,AU,1559452452,45,-35.36,150.48,66.99,8.05
42,College,75,US,1559452219,76,64.86,-147.8,55.4,3.36
43,Thompson,75,CA,1559452455,80,55.74,-97.86,41.0,5.82
44,Virbalis,53,LT,1559452456,79,54.63,22.82,59.99,9.51
45,Qaanaaq,100,GL,1559452457,92,77.48,-69.36,24.53,7.18
46,Tautira,20,PF,1559452459,69,-17.73,-149.15,82.4,9.17
47,Uglegorskiy,0,RU,1559452460,49,48.24,41.25,81.41,8.03
48,Vila Franca do Campo,75,PT,1559452461,100,37.72,-25.43,66.2,10.29
49,Atambua,47,ID,1559452463,66,-9.11,124.89,85.37,15.84
50,Napasar,0,IN,1559452464,9,27.97,73.56,112.37,15.99
51,Lobva,51,RU,1559452465,44,59.19,60.52,63.59,14.36
52,Vaini,0,IN,1559452467,65,15.34,74.49,82.4,6.93
53,Arraial do Cabo,3,BR,1559452468,92,-22.97,-42.02,72.59,4.27
54,Avarua,2,CK,1559452469,78,-21.21,-159.78,77.0,11.41
55,Punta Arenas,90,CL,1559452470,86,-53.16,-70.91,41.0,27.51
56,Fez,0,MA,1559452472,51,34.03,-5.02,64.4,8.05
57,Ribeira Grande,99,PT,1559452473,93,38.52,-28.7,66.29,11.7
58,Geraldton,40,CA,1559452474,80,49.72,-86.95,39.2,4.7
59,Saskylakh,0,RU,1559452476,59,71.97,114.09,49.19,11.07
60,Zhaotong,53,CN,1559452477,27,27.34,103.71,76.73,1.34
61,Cherskiy,0,RU,1559452478,41,68.75,161.3,56.21,17.02
62,Ambulu,65,ID,1559452480,77,-8.35,113.61,81.95,15.3
63,Hermanus,95,ZA,1559452481,98,-34.42,19.24,57.0,2.62
64,Yellowknife,90,CA,1559452405,76,62.45,-114.38,48.2,14.99
65,Qandala,38,SO,1559452483,69,11.47,49.87,89.15,2.73
66,Forio,75,IT,1559452485,93,40.73,13.86,63.0,3.36
67,Luena,0,AO,1559452486,45,-11.78,19.91,56.03,2.8
68,Norman Wells,90,CA,1559452488,87,65.28,-126.83,48.2,9.17
69,Hobart,75,AU,1559452266,87,-42.88,147.33,52.0,4.7
70,Chakrata,40,IN,1559452490,32,30.7,77.87,93.2,6.93
